ID_Institucion,Institucion,Programa,Tipo_Estudiante,Tipo_Practica,Semestre,Asignados,Score_unitario
7600103799,"Hospital Universitario del Valle ""Evaristo Garcia"" E.S.E.",Medicina,Pregrado,Rotación pregrado,2026-1,24,0.939
7600103715,HOSPITAL DE SAN JUAN DE DIOS,Medicina,Pregrado,Rotación pregrado,2026-1,51,0.8275
7600103359,CLINICA VERSALLES S.A.,Medicina,Pregrado,Rotación pregrado,2026-1,93,0.8125
7600101125,CLINICA NUESTRA SEÑORA DE LOS REMEDIOS,Medicina,Pregrado,Rotación pregrado,2026-1,26,0.7775
500102104,HOSPITAL PABLO TOBON URIBE,Medicina,Pregrado,Rotación pregrado,2026-1,7,0.775
7611103495,FUNDACION HOSPITAL SAN JOSE DE BUGA,Medicina,Pregrado,Rotación pregrado,2026-1,13,0.77
5200101102,E.S.E. HOSPITAL UNIVERSITARIO DEPARTAMENTAL DE NARIÑO,Medicina,Pregrado,Rotación pregrado,2026-1,6,0.765
7600103609,HOSPITAL DEPARTAMENTAL PSIQUIATRICO UNIVERSITARIO DEL VALLE E.S.E,Medicina,Pregrado,Rotación pregrado,2026-1,37,0.7025
7600103956,RED DE SALUD DEL NORTE EMPRESA SOCIAL DEL ESTADO,Medicina,Pregrado,Rotación pregrado,2026-1,48,0.7025
7600103959,RED DE SALUD DE LADERA EMPRESA SOCIAL DEL ESTADO,Medicina,Pregrado,Rotación pregrado,2026-1,38,0.7025
1100109456,HOSPITAL UNIVERSITARIO SAN IGNACIO,Medicina,Pregrado,Rotación pregrado,2026-1,12,0.695
5200100283,HOSPITAL INFANTIL LOS ANGELES,Medicina,Pregrado,Rotación pregrado,2026-1,1,0.695
7600101111,CLÍNICA IMBANACO S.A.S.,Medicina,Pregrado,Rotación pregrado,2026-1,7,0.6775
7600102523,RED DE SALUD DEL SURORIENTE ESE - HOSPITAL CARLOS CARMONA M.,Medicina,Pregrado,Rotación pregrado,2026-1,7,0.6025
7600103957,RED DE SALUD DEL ORIENTE EMPRESA SOCIAL DEL ESTADO E.S.E,Medicina,Pregrado,Rotación pregrado,2026-1,7,0.6025
7600102541,FUNDACION CLINICA INFANTIL CLUB NOEL,Medicina,Pregrado,Rotación pregrado,2026-1,22,0.5775
7652002273,CLINICA PALMIRA S.A.,Medicina,Pregrado,Rotación pregrado,2026-1,15,0.5775
7600105205,INSTITUTO PARA NIÑOS CIEGOS Y SORDOS DEL VALLE DEL CAUCA,Medicina,Pregrado,Rotación pregrado,2026-1,8,0.5525
7600103954,HOSPITAL DEPARTAMENTAL MARIO CORREA RENGIFO EMPRESA SOCIAL DEL ESTADO,Medicina,Pregrado,Rotación pregrado,2026-1,21,0.5275
7600105765,CHRISTUS SINERGIA SALUD S.A,Medicina,Pregrado,Rotación pregrado,2026-1,27,0.4775
7600112932,Fundación Javeriana de Servicios Medico Odontológicos Interuniversitarios Carlos Marquez Villegas-Javesalud,Medicina,Pregrado,Rotación pregrado,2026-1,8,0.465
7600100294,CLINICA DE OFTALMOLOGIA DE CALI,Medicina,Pregrado,Rotación pregrado,2026-1,8,0.4525
7600111592,CLINICA NUEVA DE CALI SAS,Medicina,Pregrado,Rotación pregrado,2026-1,24,0.425
7600108077,FABILU S.A.S,Medicina,Pregrado,Rotación pregrado,2026-1,5,0.4025
7636403314,FUNDACION EL COTTOLENGO DEL PADRE OCAMPO,Medicina,Pregrado,Rotación pregrado,2026-1,10,0.4025
